productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","Buildgo Sand and Stone Ballast Trade Pack","https://dam-assets.apps.travisperkins.group/3WwLA/GPID_1000328696_IMG_00.jpeg","This trade pack provides sand and stone ballast that creates concrete when added to cement. Ideal for concreting and laying screeds, it can also be used to provide an even and strong sub-base prior to laying paving for projects such as driveways and shed bases.","5041036151","1,429",4.31,"ACTIVE",429,"Building Materials",3.75,"",20
"","Buildgo Gravel and Shingle Trade Pack 10mm","https://dam-assets.apps.travisperkins.group/oz89d5l/GPID_1000328702_IMG_00.jpeg","This trade pack of 10mm gravel and shingle consists of small stones that are ideal for mixing with other products when concreting and floor screeding. Other uses include backfilling drains and landscaping tasks. It is recommended that the 20mm version or one of the decorative aggregates is used for driveways and paths as the small stones can be brought inside on footwear.","2237787957","1,80",4.31,"ACTIVE",80,"Building Materials",3.75,"",20
"","Plastering Sand Trade Pack","https://dam-assets.apps.travisperkins.group/rrp0B/GPID_1000328699_IMG_00.jpeg","A mixture of sharp and soft sand for various uses by plasterers","9364082290","1,557",4.31,"ACTIVE",557,"Building Materials",3.75,"",20
"","Osmadrain Drainage Plain End Pipe 110mm 3 Meter","https://dam-assets.apps.travisperkins.group/xdmedzk/GPID_1000199458_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","3786700911","1,41",23.32,"ACTIVE",41,"Building Materials",20.28,"",20
"","OsmaDrain Double Socket adjustable bend 0-30° 110mm 4D573","https://dam-assets.apps.travisperkins.group/oyy150l/GPID_1000199526_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","2324004381","1,6",31.67,"ACTIVE",6,"Building Materials",27.54,"",20
"","Osmadrain Drainage Double Socket Pipe Coupler 110mm","https://dam-assets.apps.travisperkins.group/o0n1j65/GPID_1000199476_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m","3598071483","1,38",7.92,"ACTIVE",38,"Building Materials",6.89,"",20
"","OsmaDrain Plain Ended Access Gully 110mm 4D850","https://dam-assets.apps.travisperkins.group/oq4rm35/GPID_1000700925_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","6758024489","1,2",37.73,"ACTIVE",2,"Building Materials",32.81,"",20
"","OsmaDrain Plain Ended Socket Plug (Closed) 110mm 4D296","https://dam-assets.apps.travisperkins.group/o504qnm/GPID_1000199481_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","8401993750","1,5",10.35,"ACTIVE",5,"Building Materials",9,"",20
"","OsmaDrain Double Socket Short Radius Bend 45° 110mm 4D563","https://dam-assets.apps.travisperkins.group/xkgm8q7/GPID_1000199494_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","4327336273","1,20",23.67,"ACTIVE",20,"Building Materials",20.58,"",20
"","OsmaDrain Plain Ended Rodding Eye 110mm 4D360","https://dam-assets.apps.travisperkins.group/xlm29wd/GPID_1000334706_IMG_00.jpg","OsmaDrain, foul and surface water drainage system for use in gravity drainage applications at depths of up to 10m.","3912118177","1,3",48.27,"ACTIVE",3,"Building Materials",41.97,"",20
