productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","H+H Celcon Standard Aerated Concrete Foundation Block 3.6N 300mm","https://dam-assets.apps.travisperkins.group/9oP5E/GPID_1000327768_IMG_00.jpg","Available in Standard Grade (3.6N/mm2) and High Strength Grade (7.3N/mm2).  Foundation Blocks can be used to support 3 storey constructions. They are suitable for the support of solid or cavity walls, framed construction or suspended floors, including beam and block.","8790376187","1,45",8.33,"ACTIVE",45,"Building Materials",7.24,"",20
"","H+H Celcon Brick Standard Coursing Unit 65mm","https://dam-assets.apps.travisperkins.group/R041p/GPID_1000327782_IMG_00.jpg","Coursing Units are produced from the same material as all H+H aircrete and are suitable for the same applications as conventional size Celcon Blocks, allowing consistency within the building fabric.","2644127596","1,598",1.09,"ACTIVE",598,"Building Materials",0.95,"",20
"","Solid Medium Density Concrete Block 7.3N 140mm","https://dam-assets.apps.travisperkins.group/lzzZN/GPID_1000076038_IMG_00.jpg","A low weight concrete building block designed for thermal efficiency and manual handling considerations.","3878933634","1,1534",5.85,"ACTIVE",1534,"Building Materials",5.09,"",20
"","Hepworth Square Hole Airbrick 215 x 140mm Red YA14R","https://dam-assets.apps.travisperkins.group/lZaVp/GPID_1000327250_IMG_00.jpeg","Hepworth Terracotta airbricks allow the free movement of air to ventilate buildings. Terracotta airbricks can complement the external finish of a property and will weather well with the surrounding brickwork.","6823852381","1,9",12.17,"ACTIVE",9,"Building Materials",10.58,"",20
"","Hepworth Square Hole Airbrick 215 x 215mm Red YA15R","https://dam-assets.apps.travisperkins.group/o8r5nnq/GPID_1000327253_IMG_00.jpeg","Hepworth Terracotta airbricks allow the free movement of air to ventilate buildings. Terracotta airbricks can complement the external finish of a property and will weather well with the surrounding brickwork.","3118536118","1,12",33.97,"ACTIVE",12,"Building Materials",29.54,"",20
"","Hepworth Cavity Liner 215 x 140 x 200mm YB13","https://dam-assets.apps.travisperkins.group/oe0411n/GPID_1000327263_IMG_00.jpg","Cavity liner for use with air bricks to form a duct through walls to assist ventilation.","3686327637","1,8",18.22,"ACTIVE",8,"Building Materials",15.84,"",20
"","Hepworth Cavity Liner 215 x 65 x 200mm YB11","https://dam-assets.apps.travisperkins.group/v16d99q/GPID_1000327261_IMG_00.jpg","Cavity liner for use with air bricks to form a duct through walls to assist ventilation.","1100123052","1,18",15.30,"ACTIVE",18,"Building Materials",13.3,"",20
"","Marshalls Dense Concrete Common Brick Grey 215mm x 100mm x 65mm","https://dam-assets.apps.travisperkins.group/v96pqnj/GPID_1000327568_IMG_00.jpeg","The dense concrete common brick from Marshalls is suitable for use above and below a damp proofing course level. It can be used independently as well as in conjunction with dense aggregate blocks that provide strength and density.","5218229891","1,12184",0.70,"ACTIVE",12184,"Building Materials",0.61,"",20
"","Fillcrete Fillaboard Expansion Joint Strip 12mm x 150mm x 2440mm","https://dam-assets.apps.travisperkins.group/70Zwv/GPID_1000025298_IMG_00.jpeg","12mm 150 x 2440 Strips of Fillaboard Bitumen Impregnated fibreboard for all your requirements for concrete expansion and movement joints packed in 10 strips per pack.","3315884931","1,15",9.61,"ACTIVE",15,"Building Materials",8.36,"",20
"","Fillcrete Brickfill Expansion Joint Roll 12mm x 100mm x 10m","https://dam-assets.apps.travisperkins.group/MgmDD/GPID_1000198650_IMG_00.jpeg","12mm 100 x 10,000 rolls of Brickfill closed cell cross linked polyethylene foams for all your requirements for brick and blockwork expansion and movement joints packed in 10 rolls per merchant pack.","8133794055","1,5",15.96,"ACTIVE",5,"Building Materials",13.88,"",20
