productid,productname,productimages,productdescription,productsku,productminmaxquantity,productpriceselling,productstatus,productinventory,productcategory,productpricecost,productpricecompare,producttax_percent,productlabels,producttags
"","47mm x 225mm x 3.6m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/P0pZ5/GPID_1000020371_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","4401284785","1,85",31.60,"ACTIVE",85,"Timber & Sheet Materials",27.48
"","47mm x 200mm x 4.8m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/o0nmppq/GPID_1000190426_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","4030898753","1,74",40.87,"ACTIVE",74,"Timber & Sheet Materials",35.54
"","47mm x 125mm x 4.8m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/ymwj0/GPID_1000020363_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","3319141411","1,204",23.45,"ACTIVE",204,"Timber & Sheet Materials",20.39
"","47mm x 225mm x 4.8m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/LE8wo/GPID_1000020373_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","3272878536","1,69",42.10,"ACTIVE",69,"Timber & Sheet Materials",36.61
"","47mm x 125mm x 3.6m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/oz8d9jy/GPID_1000020361_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","8843570806","1,32",17.58,"ACTIVE",32,"Timber & Sheet Materials",15.29
"","22mm x 100mm x 4.8m Sawn Softwood Carcassing Treated Green","https://dam-assets.apps.travisperkins.group/xdmd1l3/GPID_1000190304_IMG_00.jpeg","High quality treated sawn timber for general construction uses","7012689930","1,203",14.10,"ACTIVE",203,"Timber & Sheet Materials",12.26
"","19mm x 38mm x 4.8m Sawn Softwood Carcassing Treated Green","https://dam-assets.apps.travisperkins.group/7PZqX/GPID_1000190490_IMG_00.jpg","High quality treated sawn timber for general construction uses","4572985723","1,1164",3.71,"ACTIVE",1164,"Timber & Sheet Materials",3.23
"","47mm x 75mm x 3.0m Regularised Treated Sawn Timber C16","https://dam-assets.apps.travisperkins.group/pzoOA/GPID_1000190438_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","9305654551","1,162",9.51,"ACTIVE",162,"Timber & Sheet Materials",8.27
"","47mm x 175mm x 3.6m Regularised Treated Sawn Timber C24","https://dam-assets.apps.travisperkins.group/KrEQr/GPID_1000020366_IMG_00.jpeg","Regularised (consistent dimensions) by planing all round with 'eased' (rounded) corners for comfortable handling. Our regularised carcassing finishes 2mm off nominal thickness and 5mm off nominal width.","2342265030","1,76",24.56,"ACTIVE",76,"Timber & Sheet Materials",21.36
"","25mm x 38mm x 4.8m Sawn Softwood Carcassing Treated Green","https://dam-assets.apps.travisperkins.group/MNZzg/GPID_1000190485_IMG_00.jpg","High quality treated sawn timber for general construction uses","8483096132","1,817",4.44,"ACTIVE",817,"Timber & Sheet Materials",3.86
