Item Catagory,Item Description,Item Name,Sell,image
Building Materials,Wall & Frame Ties,Helical Bar Grout 3L,£59.99,
Building Materials,Wall & Frame Ties,Helical Bar Stainless Steel-8mm,£6.95,
Building Materials,Wall & Frame Ties,Helical Bar Stainless Steel-6mm,£4.95,
Building Materials,Wall & Frame Ties,Expansion Ties With Sleeve 200mm,£0.95,
Building Materials,Wall & Frame Ties,Wallstarters 2.4mtr Stainless Steel,£12.95,
Building Materials,Wall & Frame Ties,"200x50x2mm Safety Ended Frame Tie
",£0.60,
Building Materials,Wall & Frame Ties,150x50x2mm Safety Ended Frame Tie,£0.55,
Building Materials,Wall & Frame Ties,100x50x2mm Safety Ended Frame Tie,£0.50,
Building Materials,Joist Hangers - Timber To Timber,Truss Clip for Building Projects,£0.59,
Building Materials,Joist Hangers - Timber To Timber,150mm Long Leg Jiffy Hangers H/D Timber to Timber,£5.95,
Building Materials,Joist Hangers - Timber To Timber,50mm Long Leg Jiffy Hangers H/D Timber to Timber,£3.95,
Building Materials,Joist Hangers - Timber To Timber,100mm Long Leg Jiffy Hangers H/D Timber to Timber,£4.95,
Building Materials,Joist Hangers - Timber To Timber,75mm Jiffy Hangers Timber to Timber,£1.50,
Building Materials,Joist Hangers - Timber To Timber,50mm Jiffy Hangers Timber to Timber,£0.95,
Building Materials,Joist Hangers - Timber To Timber,100mm Jiffy Hangers Timber to Timber,£1.95,
Building Materials,Building Restraint Straps,L Joist Straps-900 x 30 x 5mm H/D,£4.95,
Building Materials,Building Restraint Straps,Flat Joist Straps-1000 x 30 x 5mm H/D,£2.95,
Building Materials,Building Restraint Straps,Flat Joist Straps-1000 x 30 x 2.5mm L/D,£1.95,
Building Materials,Building Restraint Straps,Flat Joist Straps-1200 x 30 x 5mm H/D,£3.95,
Building Materials,Building Restraint Straps,Flat Joist Straps-1200 x 30 x 2.5mm L/D,£2.95,
Building Materials,Building Restraint Straps,L Joist Straps-1500 x 30 x 5mm H/D,£6.95,
