Item Catagory,Item Description,Item Name,Sell
Building Materials,Floor Insulation,100mm PIR Insulation 8’X4′,34.95
Building Materials,Floor Insulation,120mm PIR Insulation 8’X4′,44.95
Building Materials,Floor Insulation,150mm PIR Insulation 8’X4′,54.95
Building Materials,Floor Insulation,Jablite 75mm 8’X4′,19.95
Building Materials,Floor Insulation,Jablite 125mm 8’X4′,32.95
Building Materials,Floor Insulation,Jablite 100mm 8’X4′,26.95
Building Materials,Floor Insulation,8 X 4 50MM Claylite,15.95
Building Materials,Acoustic Insulation,25mm Superglass Acoustic Partition Insulation Roll (27m2 Per Roll),44.95
Building Materials,Acoustic Insulation,50mm Superglass Acoustic Partition Insulation Roll (15.60m2 Per Roll),44.95
Building Materials,Acoustic Insulation,100mm Superglass Acoustic Partition Insulation Roll (11.40m2 Per Roll),44.95
Building Materials,Acoustic Insulation,100mm Rockwool RWA45 600mm x 1200mm (2.88m2),29.95
Building Materials,Cavity Insulation,90mm Eurowall Insulation 1200x460 Tongue&Groove 4 sides,12.95
Building Materials,Cavity Insulation,75mm Superglass Superwall 36 Cavity Batt 1200mmx455m (5.46m2),32.95
Building Materials,Cavity Insulation,100mm Superglass Superwall 36 Cavity Batt 1200mmx455m (4.37m2),32.95
Building Materials,Cavity Insulation,150mm Superglass Superwall 36 Cavity Batt 1200mmx455m (3.28m2),34.95
Building Materials,Loft Insulation,100mm Superglass Multi-Roll Loft Roll Insulation (12.12m2 Per Roll),29.95
Building Materials,Loft Insulation,150mm Superglass Multi-Roll Loft Roll Insulation (7.71m2 Per Roll),29.95
Building Materials,Loft Insulation,200mm Superglass Multi-Roll Loft Roll Insulation (5.63m2 Per Roll),29.95
Building Materials,Cavity Tray,150mm Cav Frstop 1hrfr Cavity Stop Sock 1200mm,8.95
Building Materials,Cavity Tray,100mm Cav Frstop 1hrfr Cavity Stop Sock 1200mm,5.95
Building Materials,Cavity Tray,100-150 Cav Thermo-loc Platinum Multi Closer 2.4m,14.95
Building Materials,Cavity Tray,50-100 Cav Thermo-loc Platinum Multi Closer 2.4m,11.95
Building Materials,,WEBER Reinforcement Mesh Cloth Standard 50 x 1.0m,95
Building Materials,,WEBEREND OCR One Coat Render 25Kg,12.95
Building Materials,,WEBER Rend-Aid 25Kg TE,35
Building Materials,,WEBER Accelerator Monocouche 20 Litre,65
Building Materials,,Stone Grey Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Graphite Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Granite Grey Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Pearl Grey Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Ivory Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Silver Pearl Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,,Chalk Weberpral M Decorative Render 25kg Bag,16.95
Building Materials,Plasterboard,12.5mm Standard Plasterboard 2400mm X 1200mm Tapered Edge,9.95
Building Materials,Plasterboard,12.5mm Soundblock Plasterboard T/E 2400mm x 1200mm,14.95
Building Materials,Plasterboard,12.5mm Fire Resistant Plasterboard T/E 2400mm x 1200mm,14.95
Building Materials,Plasterboard,12.5mm Moisture Resistant Plasterboard T/E 2400mm x 1200mm,15.95
Building Materials,Plasterboard,12.5mm Foil Back Vapour Plasterboard T/E 2400mm x 1200mm,14.95
Building Materials,Plasterboard,12.5mm Standard Plasterboard S/E 1800mm x 900mm,6.95
Building Materials,Plasterboard,15mm Soundblock Plasterboard T/E 2400mm x 1200mm,16.95
Building Materials,Plasterboard,15mm Fire Resistant Plasterboard T/E 15mm2400mm x 1200mm,16.95
Building Materials,Plasterboard,8' x 4' x 40mm Thermal EPS Board T/E,27.95
Building Materials,Plasterboard,8' x 4' x 50mm Thermal EPS Board T/E,29.95
Building Materials,Plasterboard,PIR Plasterboard Laminate1200mmx2400mm - 62.5mm,56.95
Building Materials,Plasterboard,PIR Plasterboard Laminate1200mmx2400mm - 37.5mm,46.95
Building Materials,Plaster,Hardwall 25Kg,12.95
Building Materials,Plaster,Bonding Coat 25Kg,12.95
Building Materials,Plaster,Multifinish 25Kg,9.95
Building Materials,Plastering Tape & Adhesive,Roll 900MM X 50M Render Mesh,49.95
Building Materials,Plastering Tape & Adhesive,Dry Wall Adhesive 25Kg,10.95
Building Materials,Plastering Tape & Adhesive,Scrim Tape 45MTR Roll 96mm,7.95
Building Materials,Plastering Tape & Adhesive,Scrim Tape 90MTR Roll 50mm,5.95
Building Materials,Suspended Ceiling Frames & Fixings,MF9 Clips (Per 200),24.95
Building Materials,Suspended Ceiling Frames & Fixings,25mm x 25mm x 0.7 Ceiling Angle 3.6m,3.10
Building Materials,Suspended Ceiling Frames & Fixings,MF7 Primary Channel (Mainbar) 3.6m,4.18
Building Materials,Suspended Ceiling Frames & Fixings,MF6a Perimeter Channel (Perimeter) 3.6m,3.16
Building Materials,Suspended Ceiling Frames & Fixings,MF5 Ceiling Furring 3.6m (Tophat),4.80
Building Materials,Suspended Ceiling Frames & Fixings,Resilient Bar 3m,3.96
Building Materials,Metal Stud Partitioning,72mm U Track 3m,3.90
Building Materials,Metal Stud Partitioning,70mm C Track 3m,4.80
Building Materials,Tile Backing Boards,6mm PrePrimed NoMorePly Board (1200x600x6mm),16.95
Building Materials,Tile Backing Boards,STS Construction Board 2400mm x 1200mm x 12mm,65
Building Materials,Tile Backing Boards,STS Construction Board 1200x800x12mm,16.95
Building Materials,Plastering Fillers,Prem Fill & Finish 15Kg,24.95
Building Materials,GRP,140mm X 21mm Consolidating Paddle Roller,8.50
Building Materials,GRP,70mm X 21mm Consolidating Paddle Roller,6.50
Building Materials,GRP,225mm X 21mm Consolidating Paddle Roller,9.50
Building Materials,GRP,"6"" Fluffy Roller Complete",3.95
Building Materials,GRP,"9"" Fluffy Roller Complete",5.95
Building Materials,GRP,"3"" Fluffy Roller Complete",2.95
Building Materials,GRP,Aqua GRP Resin 20kg,85
Building Materials,GRP,Aqua GRP Resin 10kg,55
Building Materials,GRP,Aqua GRP Top Coat Storm Grey 20kg,95
Building Materials,GRP,Aqua GRP Top Coat Steel Grey 10kg,65
Building Materials,GRP,C1 Universal External Corner,12.95
Building Materials,GRP,Standard Drip Trim 3M (A200),12.95
Building Materials,GRP,C3 Internal Fillet Corner,12.95
Building Materials,GRP,Simulated Lead Trim 3M (C100),12.95
Building Materials,GRP,C3 External Fillet Corner,12.95
Building Materials,GRP,Large Drip Trim 3m (A250),12.95
Building Materials,GRP,Large Raised Edge Trim 3M (B260),12.95
Building Materials,GRP,Angle Fillet Trim 3M (D260),12.95
Building Materials,GRP,Sentinel GRP MS Polymer Sealant Adhesive 290ML,6.50
Building Materials,GRP,5L Sentinel GRP Pure Acetone,25
Building Materials,GRP,100MM X 50MTR Fibre Glass Bandage,25
Building Materials,GRP,Catalyst Dispensing Bottle 80ml,18.95
Building Materials,GRP,Catalyst Dispensing Bottle 15ml,14.95
Building Materials,GRP,Sentinel GRP Catalyst Hardener 5Kg,38.95
Building Materials,GRP,10L GRP Mixing Buckets,4.95
Building Materials,GRP,450Gsm Chopped Strand Mat 30KG Roll (65m2),89
Building Materials,GRP,450Gsm Chopped Strand Mat 16KG Roll (33m2),59
Building Materials,GRP,450Gsm Chopped Strand Mat 15MTR Roll,29
Building Materials,GRP,"4"" Laminating Brushes",4
Building Materials,GRP,"2"" Laminating Brushes",2
Building Materials,Rainwater & Guttering,112mm Half Round Gutter Union Bracket (Black),2.95
